index,tokens,intent,intents_nums,BIO,BIO_nums,tokens_list,translated,comments,translation,proj,source_dict,source_dict_light,transfer_dict,transfer_dict_light,BIO_list_trans,BIO_nums_list_trans,BIO_list_trans_RU,BIO_nums_list_trans_RU
589,could i get the address and post code please,request_addr__request_postcode,27,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1, 1]","['could', 'i', 'get', 'the', 'address', 'and', 'post', 'code', 'please']","{'text': 'Могу ли я получить адрес и почтовый индекс, пожалуйста', 'to': 'ru', 'alignment': {'proj': '0:4-0:3 0:4-5:6 6:6-8:8 8:10-10:17 16:22-19:23 24:26-25:25 28:31-27:34 38:43-36:42 38:43-44:53'}}",1,"Могу ли я получить адрес и почтовый индекс, пожалуйста",0:4-0:3 0:4-5:6 6:6-8:8 8:10-10:17 16:22-19:23 24:26-25:25 28:31-27:34 38:43-36:42 38:43-44:53,"{'0:4': ['could', 'O', 1], '6:6': ['i', 'O', 1], '8:10': ['get', 'O', 1], '12:14': ['the', 'O', 1], '16:22': ['address', 'O', 1], '24:26': ['and', 'O', 1], '28:31': ['post', 'O', 1], '33:36': ['code', 'O', 1], '38:43': ['please', 'O', 1]}","{0: ['could', 'O', 1], 6: ['i', 'O', 1], 8: ['get', 'O', 1], 12: ['the', 'O', 1], 16: ['address', 'O', 1], 24: ['and', 'O', 1], 28: ['post', 'O', 1], 33: ['code', 'O', 1], 38: ['please', 'O', 1]}","{'0:3': '0:4', '5:6': '0:4', '8:8': '6:6', '10:17': '8:10', '19:23': '16:22', '25:25': '24:26', '27:34': '28:31', '36:42': '38:43', '44:53': '38:43'}","{0: 0, 5: 0, 8: 6, 10: 8, 19: 16, 25: 24, 27: 28, 36: 38, 44: 38}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1, 1]"
590,im looking for an expensive restaurant that serves french food,inform_food__inform_pricerange,10,"['O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 0, 1, 1, 1, 3, 1]","['im', 'looking', 'for', 'an', 'expensive', 'restaurant', 'that', 'serves', 'french', 'food']","{'text': 'Я ищу дорогой ресторан, в который подают блюда французской кухни', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 3:9-2:4 15:16-6:12 28:37-14:22 39:42-24:24 44:49-34:39 51:56-41:45 51:56-47:57 58:61-59:63'}}",1,"Я ищу дорогой ресторан, в который подают блюда французской кухни",0:1-0:0 3:9-2:4 15:16-6:12 28:37-14:22 39:42-24:24 44:49-34:39 51:56-41:45 51:56-47:57 58:61-59:63,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:16': ['an', 'O', 1], '18:26': ['expensive', 'B-pricerange', 0], '28:37': ['restaurant', 'O', 1], '39:42': ['that', 'O', 1], '44:49': ['serves', 'O', 1], '51:56': ['french', 'B-food', 3], '58:61': ['food', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['an', 'O', 1], 18: ['expensive', 'B-pricerange', 0], 28: ['restaurant', 'O', 1], 39: ['that', 'O', 1], 44: ['serves', 'O', 1], 51: ['french', 'B-food', 3], 58: ['food', 'O', 1]}","{'0:0': '0:1', '2:4': '3:9', '6:12': '15:16', '14:22': '28:37', '24:24': '39:42', '34:39': '44:49', '41:45': '51:56', '47:57': '51:56', '59:63': '58:61'}","{0: 0, 2: 3, 6: 15, 14: 28, 24: 39, 34: 44, 41: 51, 47: 51, 59: 58}","['O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 1, 0, 1, 1, 3, 1, 1]","['O', 'O', 'O', 'O', 'O', -100, 'O', 'B-food', 'B-food', 'O']","[1, 1, 1, 1, 1, -100, 1, 3, 3, 1]"
591,is there another place,reqalts,23,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['is', 'there', 'another', 'place']","{'text': 'есть ли другое место', 'to': 'ru', 'alignment': {'proj': '3:7-0:3 3:7-5:6 9:15-8:13 17:21-15:19'}}",1,есть ли другое место,3:7-0:3 3:7-5:6 9:15-8:13 17:21-15:19,"{'0:1': ['is', 'O', 1], '3:7': ['there', 'O', 1], '9:15': ['another', 'O', 1], '17:21': ['place', 'O', 1]}","{0: ['is', 'O', 1], 3: ['there', 'O', 1], 9: ['another', 'O', 1], 17: ['place', 'O', 1]}","{'0:3': '3:7', '5:6': '3:7', '8:13': '9:15', '15:19': '17:21'}","{0: 3, 5: 3, 8: 9, 15: 17}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
592,im looking for a cheap vietnamese restaurant,inform_food__inform_pricerange,10,"['O', 'O', 'O', 'O', 'B-pricerange', 'B-food', 'O']","[1, 1, 1, 1, 0, 3, 1]","['im', 'looking', 'for', 'a', 'cheap', 'vietnamese', 'restaurant']","{'text': 'Я ищу дешевый вьетнамский ресторан', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 3:9-2:4 17:21-6:12 23:32-14:24 34:43-26:33'}}",1,Я ищу дешевый вьетнамский ресторан,0:1-0:0 3:9-2:4 17:21-6:12 23:32-14:24 34:43-26:33,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:15': ['a', 'O', 1], '17:21': ['cheap', 'B-pricerange', 0], '23:32': ['vietnamese', 'B-food', 3], '34:43': ['restaurant', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['a', 'O', 1], 17: ['cheap', 'B-pricerange', 0], 23: ['vietnamese', 'B-food', 3], 34: ['restaurant', 'O', 1]}","{'0:0': '0:1', '2:4': '3:9', '6:12': '17:21', '14:24': '23:32', '26:33': '34:43'}","{0: 0, 2: 3, 6: 17, 14: 23, 26: 34}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 1, 3, 3, 1]","['O', 'O', 'B-pricerange', 'B-food', 'O']","[1, 1, 0, 3, 1]"
593,im looking for a vietnamese restaurant,inform_food,6,"['O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 3, 1]","['im', 'looking', 'for', 'a', 'vietnamese', 'restaurant']","{'text': 'Я ищу вьетнамский ресторан', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 3:9-2:4 17:26-6:16 28:37-18:25'}}",1,Я ищу вьетнамский ресторан,0:1-0:0 3:9-2:4 17:26-6:16 28:37-18:25,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:15': ['a', 'O', 1], '17:26': ['vietnamese', 'B-food', 3], '28:37': ['restaurant', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['a', 'O', 1], 17: ['vietnamese', 'B-food', 3], 28: ['restaurant', 'O', 1]}","{'0:0': '0:1', '2:4': '3:9', '6:16': '17:26', '18:25': '28:37'}","{0: 0, 2: 3, 6: 17, 18: 28}","['O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 3, 1]","['O', 'O', 'B-food', 'O']","[1, 1, 3, 1]"
594,whats its phone number,request_phone,4,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['whats', 'its', 'phone', 'number']","{'text': 'какой номер телефона', 'to': 'ru', 'alignment': {'proj': '0:4-0:4 6:8-6:10 6:8-12:19'}}",1,какой номер телефона,0:4-0:4 6:8-6:10 6:8-12:19,"{'0:4': ['whats', 'O', 1], '6:8': ['its', 'O', 1], '10:14': ['phone', 'O', 1], '16:21': ['number', 'O', 1]}","{0: ['whats', 'O', 1], 6: ['its', 'O', 1], 10: ['phone', 'O', 1], 16: ['number', 'O', 1]}","{'0:4': '0:4', '6:10': '6:8', '12:19': '6:8'}","{0: 0, 6: 6, 12: 6}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['O', 'O', 'O']","[1, 1, 1]"
595,how much,request_pricerange,19,"['O', 'O']","[1, 1]","['how', 'much']","{'text': 'Сколько', 'to': 'ru', 'alignment': {'proj': '0:7-0:6'}}",0,Сколько,0:7-0:6,"{'0:2': ['how', 'O', 1], '4:7': ['much', 'O', 1]}","{0: ['how', 'O', 1], 4: ['much', 'O', 1]}",{'0:6': '0:7'},{0: 0},"['O', 'O']",['O'],['O'],[1]
596,whats its address,request_addr,3,"['O', 'O', 'O']","[1, 1, 1]","['whats', 'its', 'address']","{'text': 'каков его адрес', 'to': 'ru', 'alignment': {'proj': '0:4-0:4 6:8-6:8 10:16-10:14'}}",1,каков его адрес,0:4-0:4 6:8-6:8 10:16-10:14,"{'0:4': ['whats', 'O', 1], '6:8': ['its', 'O', 1], '10:16': ['address', 'O', 1]}","{0: ['whats', 'O', 1], 6: ['its', 'O', 1], 10: ['address', 'O', 1]}","{'0:4': '0:4', '6:8': '6:8', '10:14': '10:16'}","{0: 0, 6: 6, 10: 10}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['O', 'O', 'O']","[1, 1, 1]"
597,may i have its phone number,request_phone,4,"['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['may', 'i', 'have', 'its', 'phone', 'number']","{'text': 'могу ли я иметь свой номер телефона', 'to': 'ru', 'alignment': {'proj': '0:2-0:3 4:4-8:8 6:9-5:6 6:9-10:14 11:13-16:19 15:19-27:34 21:26-21:25'}}",1,могу ли я иметь свой номер телефона,0:2-0:3 4:4-8:8 6:9-5:6 6:9-10:14 11:13-16:19 15:19-27:34 21:26-21:25,"{'0:2': ['may', 'O', 1], '4:4': ['i', 'O', 1], '6:9': ['have', 'O', 1], '11:13': ['its', 'O', 1], '15:19': ['phone', 'O', 1], '21:26': ['number', 'O', 1]}","{0: ['may', 'O', 1], 4: ['i', 'O', 1], 6: ['have', 'O', 1], 11: ['its', 'O', 1], 15: ['phone', 'O', 1], 21: ['number', 'O', 1]}","{'0:3': '0:2', '8:8': '4:4', '5:6': '6:9', '10:14': '6:9', '16:19': '11:13', '27:34': '15:19', '21:25': '21:26'}","{0: 0, 8: 4, 5: 6, 10: 6, 16: 11, 27: 15, 21: 21}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1]"
598,yes i would like portuguese food,affirm__inform_food,38,"['O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 3, 1]","['yes', 'i', 'would', 'like', 'portuguese', 'food']","{'text': 'Да, я хотел бы португальскую еду', 'to': 'ru', 'alignment': {'proj': '0:2-0:2 4:4-4:4 6:10-6:10 6:10-12:13 17:26-15:27 28:31-29:31'}}",1,"Да, я хотел бы португальскую еду",0:2-0:2 4:4-4:4 6:10-6:10 6:10-12:13 17:26-15:27 28:31-29:31,"{'0:2': ['yes', 'O', 1], '4:4': ['i', 'O', 1], '6:10': ['would', 'O', 1], '12:15': ['like', 'O', 1], '17:26': ['portuguese', 'B-food', 3], '28:31': ['food', 'O', 1]}","{0: ['yes', 'O', 1], 4: ['i', 'O', 1], 6: ['would', 'O', 1], 12: ['like', 'O', 1], 17: ['portuguese', 'B-food', 3], 28: ['food', 'O', 1]}","{'0:2': '0:2', '4:4': '4:4', '6:10': '6:10', '12:13': '6:10', '15:27': '17:26', '29:31': '28:31'}","{0: 0, 4: 4, 6: 6, 12: 6, 15: 17, 29: 28}","['O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 3, 1]","['O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 3, 1]"
599,sea food,inform_food,6,"['B-food', 'I-food']","[3, 8]","['sea', 'food']","{'text': 'морепродукты', 'to': 'ru', 'alignment': {'proj': '0:2-0:11'}}",0,морепродукты,0:2-0:11,"{'0:2': ['sea', 'B-food', 3], '4:7': ['food', 'I-food', 8]}","{0: ['sea', 'B-food', 3], 4: ['food', 'I-food', 8]}",{'0:11': '0:2'},{0: 0},['B-food'],['O'],['B-food'],[3]
600,price,request_pricerange,19,['O'],[1],['price'],"{'text': 'цена', 'to': 'ru', 'alignment': {'proj': '0:4-0:3'}}",1,цена,0:4-0:3,"{'0:4': ['price', 'O', 1]}","{0: ['price', 'O', 1]}",{'0:3': '0:4'},{0: 0},['O'],[1],['O'],[1]
601,im looking for polish food,inform_food,6,"['O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 3, 1]","['im', 'looking', 'for', 'polish', 'food']","{'text': 'Я ищу польскую еду', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 3:9-2:4 15:20-6:13 22:25-15:17'}}",1,Я ищу польскую еду,0:1-0:0 3:9-2:4 15:20-6:13 22:25-15:17,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:20': ['polish', 'B-food', 3], '22:25': ['food', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['polish', 'B-food', 3], 22: ['food', 'O', 1]}","{'0:0': '0:1', '2:4': '3:9', '6:13': '15:20', '15:17': '22:25'}","{0: 0, 2: 3, 6: 15, 15: 22}","['O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 3, 1]","['O', 'O', 'B-food', 'O']","[1, 1, 3, 1]"
602,what about thai food,inform_food__reqalts,15,"['O', 'O', 'B-food', 'O']","[1, 1, 3, 1]","['what', 'about', 'thai', 'food']","{'text': 'как насчет тайской кухни', 'to': 'ru', 'alignment': {'proj': '0:3-0:2 5:9-4:9 11:14-11:17 16:19-19:23'}}",1,как насчет тайской кухни,0:3-0:2 5:9-4:9 11:14-11:17 16:19-19:23,"{'0:3': ['what', 'O', 1], '5:9': ['about', 'O', 1], '11:14': ['thai', 'B-food', 3], '16:19': ['food', 'O', 1]}","{0: ['what', 'O', 1], 5: ['about', 'O', 1], 11: ['thai', 'B-food', 3], 16: ['food', 'O', 1]}","{'0:2': '0:3', '4:9': '5:9', '11:17': '11:14', '19:23': '16:19'}","{0: 0, 4: 5, 11: 11, 19: 16}","['O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 3, 1]","['O', 'O', 'B-food', 'O']","[1, 1, 3, 1]"
603,what about the phone number,request_phone,4,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['what', 'about', 'the', 'phone', 'number']","{'text': 'как насчет номера телефона', 'to': 'ru', 'alignment': {'proj': '0:3-0:2 11:13-4:9 15:19-18:25 21:26-11:16'}}",1,как насчет номера телефона,0:3-0:2 11:13-4:9 15:19-18:25 21:26-11:16,"{'0:3': ['what', 'O', 1], '5:9': ['about', 'O', 1], '11:13': ['the', 'O', 1], '15:19': ['phone', 'O', 1], '21:26': ['number', 'O', 1]}","{0: ['what', 'O', 1], 5: ['about', 'O', 1], 11: ['the', 'O', 1], 15: ['phone', 'O', 1], 21: ['number', 'O', 1]}","{'0:2': '0:3', '4:9': '11:13', '18:25': '15:19', '11:16': '21:26'}","{0: 0, 4: 11, 18: 15, 11: 21}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
604,chinese restaurant in the south part of town,inform_area__inform_food,28,"['B-food', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[3, 1, 1, 1, 2, 1, 1, 1]","['chinese', 'restaurant', 'in', 'the', 'south', 'part', 'of', 'town']","{'text': 'китайский ресторан в южной части города', 'to': 'ru', 'alignment': {'proj': '0:6-0:8 8:17-10:17 22:24-19:19 26:30-21:25 32:35-27:31 40:43-33:38'}}",1,китайский ресторан в южной части города,0:6-0:8 8:17-10:17 22:24-19:19 26:30-21:25 32:35-27:31 40:43-33:38,"{'0:6': ['chinese', 'B-food', 3], '8:17': ['restaurant', 'O', 1], '19:20': ['in', 'O', 1], '22:24': ['the', 'O', 1], '26:30': ['south', 'B-area', 2], '32:35': ['part', 'O', 1], '37:38': ['of', 'O', 1], '40:43': ['town', 'O', 1]}","{0: ['chinese', 'B-food', 3], 8: ['restaurant', 'O', 1], 19: ['in', 'O', 1], 22: ['the', 'O', 1], 26: ['south', 'B-area', 2], 32: ['part', 'O', 1], 37: ['of', 'O', 1], 40: ['town', 'O', 1]}","{'0:8': '0:6', '10:17': '8:17', '19:19': '22:24', '21:25': '26:30', '27:31': '32:35', '33:38': '40:43'}","{0: 0, 10: 8, 19: 22, 21: 26, 27: 32, 33: 40}","['B-food', 'O', 'O', 'B-area', 'O', 'O', 'O']","[3, 1, 1, 2, 1, 1, 1]","['B-food', 'O', 'O', 'B-area', 'O', 'O']","[3, 1, 1, 2, 1, 1]"
605,can i get the price range,request_pricerange,19,"['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['can', 'i', 'get', 'the', 'price', 'range']","{'text': 'Могу ли я получить ценовой диапазон', 'to': 'ru', 'alignment': {'proj': '0:2-0:3 0:2-5:6 4:4-8:8 6:8-10:17 10:12-19:25 20:24-27:34'}}",1,Могу ли я получить ценовой диапазон,0:2-0:3 0:2-5:6 4:4-8:8 6:8-10:17 10:12-19:25 20:24-27:34,"{'0:2': ['can', 'O', 1], '4:4': ['i', 'O', 1], '6:8': ['get', 'O', 1], '10:12': ['the', 'O', 1], '14:18': ['price', 'O', 1], '20:24': ['range', 'O', 1]}","{0: ['can', 'O', 1], 4: ['i', 'O', 1], 6: ['get', 'O', 1], 10: ['the', 'O', 1], 14: ['price', 'O', 1], 20: ['range', 'O', 1]}","{'0:3': '0:2', '5:6': '0:2', '8:8': '4:4', '10:17': '6:8', '19:25': '10:12', '27:34': '20:24'}","{0: 0, 5: 0, 8: 4, 10: 6, 19: 10, 27: 20}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]"
606,i want to find a cheap restaurant,inform_pricerange,0,"['O', 'O', 'O', 'O', 'O', 'B-pricerange', 'O']","[1, 1, 1, 1, 1, 0, 1]","['i', 'want', 'to', 'find', 'a', 'cheap', 'restaurant']","{'text': 'Я хочу найти дешевый ресторан', 'to': 'ru', 'alignment': {'proj': '0:0-0:0 2:5-2:5 10:13-7:11 15:15-13:19 23:32-21:28'}}",1,Я хочу найти дешевый ресторан,0:0-0:0 2:5-2:5 10:13-7:11 15:15-13:19 23:32-21:28,"{'0:0': ['i', 'O', 1], '2:5': ['want', 'O', 1], '7:8': ['to', 'O', 1], '10:13': ['find', 'O', 1], '15:15': ['a', 'O', 1], '17:21': ['cheap', 'B-pricerange', 0], '23:32': ['restaurant', 'O', 1]}","{0: ['i', 'O', 1], 2: ['want', 'O', 1], 7: ['to', 'O', 1], 10: ['find', 'O', 1], 15: ['a', 'O', 1], 17: ['cheap', 'B-pricerange', 0], 23: ['restaurant', 'O', 1]}","{'0:0': '0:0', '2:5': '2:5', '7:11': '10:13', '13:19': '15:15', '21:28': '23:32'}","{0: 0, 2: 2, 7: 10, 13: 15, 21: 23}","['O', 'O', 'O', 'B-pricerange', 'O', 'O']","[1, 1, 1, 0, 1, 1]","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]"
607,restaurant in the east part of town that serves indonesian food,inform_area__inform_food,28,"['O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1]","['restaurant', 'in', 'the', 'east', 'part', 'of', 'town', 'that', 'serves', 'indonesian', 'food']","{'text': 'ресторан в восточной части города, где подают блюда индонезийской кухни', 'to': 'ru', 'alignment': {'proj': '0:9-0:7 11:12-9:9 18:21-11:19 23:26-21:25 36:39-27:33 36:39-35:37 41:46-39:44 41:46-46:50 48:57-52:64 59:62-66:70'}}",1,"ресторан в восточной части города, где подают блюда индонезийской кухни",0:9-0:7 11:12-9:9 18:21-11:19 23:26-21:25 36:39-27:33 36:39-35:37 41:46-39:44 41:46-46:50 48:57-52:64 59:62-66:70,"{'0:9': ['restaurant', 'O', 1], '11:12': ['in', 'O', 1], '14:16': ['the', 'O', 1], '18:21': ['east', 'B-area', 2], '23:26': ['part', 'O', 1], '28:29': ['of', 'O', 1], '31:34': ['town', 'O', 1], '36:39': ['that', 'O', 1], '41:46': ['serves', 'O', 1], '48:57': ['indonesian', 'B-food', 3], '59:62': ['food', 'O', 1]}","{0: ['restaurant', 'O', 1], 11: ['in', 'O', 1], 14: ['the', 'O', 1], 18: ['east', 'B-area', 2], 23: ['part', 'O', 1], 28: ['of', 'O', 1], 31: ['town', 'O', 1], 36: ['that', 'O', 1], 41: ['serves', 'O', 1], 48: ['indonesian', 'B-food', 3], 59: ['food', 'O', 1]}","{'0:7': '0:9', '9:9': '11:12', '11:19': '18:21', '21:25': '23:26', '27:33': '36:39', '35:37': '36:39', '39:44': '41:46', '46:50': '41:46', '52:64': '48:57', '66:70': '59:62'}","{0: 0, 9: 11, 11: 18, 21: 23, 27: 36, 35: 36, 39: 41, 46: 41, 52: 48, 66: 59}","['O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 2, 1, 1, 1, 1, 3, 1, 1]","['O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 2, 1, 1, 1, 1, 1, 3, 1]"
608,how about chinese food,inform_food__reqalts,15,"['O', 'O', 'B-food', 'O']","[1, 1, 3, 1]","['how', 'about', 'chinese', 'food']","{'text': 'как насчет китайской кухни', 'to': 'ru', 'alignment': {'proj': '0:2-0:2 4:8-4:9 10:16-11:19 18:21-21:25'}}",1,как насчет китайской кухни,0:2-0:2 4:8-4:9 10:16-11:19 18:21-21:25,"{'0:2': ['how', 'O', 1], '4:8': ['about', 'O', 1], '10:16': ['chinese', 'B-food', 3], '18:21': ['food', 'O', 1]}","{0: ['how', 'O', 1], 4: ['about', 'O', 1], 10: ['chinese', 'B-food', 3], 18: ['food', 'O', 1]}","{'0:2': '0:2', '4:9': '4:8', '11:19': '10:16', '21:25': '18:21'}","{0: 0, 4: 4, 11: 10, 21: 18}","['O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 3, 1]","['O', 'O', 'B-food', 'O']","[1, 1, 3, 1]"
609,address phone number post code,request_addr__request_phone__request_postcode,33,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['address', 'phone', 'number', 'post', 'code']","{'text': 'адрес номер телефона почтовый индекс', 'to': 'ru', 'alignment': {'proj': '0:6-0:4 8:12-12:19 14:19-6:10 21:24-21:28 26:29-30:35'}}",1,адрес номер телефона почтовый индекс,0:6-0:4 8:12-12:19 14:19-6:10 21:24-21:28 26:29-30:35,"{'0:6': ['address', 'O', 1], '8:12': ['phone', 'O', 1], '14:19': ['number', 'O', 1], '21:24': ['post', 'O', 1], '26:29': ['code', 'O', 1]}","{0: ['address', 'O', 1], 8: ['phone', 'O', 1], 14: ['number', 'O', 1], 21: ['post', 'O', 1], 26: ['code', 'O', 1]}","{'0:4': '0:6', '12:19': '8:12', '6:10': '14:19', '21:28': '21:24', '30:35': '26:29'}","{0: 0, 12: 8, 6: 14, 21: 21, 30: 26}","['O', 'O', 'O']","[1, 1, 1]","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]"
610,im looking for a moderately priced restaurant that serves scottish food,inform_food__inform_pricerange,10,"['O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 0, 1, 1, 1, 1, 3, 1]","['im', 'looking', 'for', 'a', 'moderately', 'priced', 'restaurant', 'that', 'serves', 'scottish', 'food']","{'text': 'Я ищу ресторан по умеренной цене, в ресторане, где подают блюда шотландской кухни', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 3:9-2:4 15:15-15:16 15:15-18:26 35:44-6:13 46:49-28:32 46:49-34:34 46:49-36:45 46:49-47:49 51:56-51:56 58:65-58:62 58:65-64:74 67:70-76:80'}}",1,"Я ищу ресторан по умеренной цене, в ресторане, где подают блюда шотландской кухни",0:1-0:0 3:9-2:4 15:15-15:16 15:15-18:26 35:44-6:13 46:49-28:32 46:49-34:34 46:49-36:45 46:49-47:49 51:56-51:56 58:65-58:62 58:65-64:74 67:70-76:80,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:15': ['a', 'O', 1], '17:26': ['moderately', 'B-pricerange', 0], '28:33': ['priced', 'O', 1], '35:44': ['restaurant', 'O', 1], '46:49': ['that', 'O', 1], '51:56': ['serves', 'O', 1], '58:65': ['scottish', 'B-food', 3], '67:70': ['food', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['a', 'O', 1], 17: ['moderately', 'B-pricerange', 0], 28: ['priced', 'O', 1], 35: ['restaurant', 'O', 1], 46: ['that', 'O', 1], 51: ['serves', 'O', 1], 58: ['scottish', 'B-food', 3], 67: ['food', 'O', 1]}","{'0:0': '0:1', '2:4': '3:9', '15:16': '15:15', '18:26': '15:15', '6:13': '35:44', '28:32': '46:49', '34:34': '46:49', '36:45': '46:49', '47:49': '46:49', '51:56': '51:56', '58:62': '58:65', '64:74': '58:65', '76:80': '67:70'}","{0: 0, 2: 3, 15: 15, 18: 15, 6: 35, 28: 46, 34: 46, 36: 46, 47: 46, 51: 51, 58: 58, 64: 58, 76: 67}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 3, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1]"
